AnimalID,AnimalType,Breed,Color,EntryDate,ReleaseDate,OutcomeType,Sex,Age,Year,Month,IsAdopted
A706918,Dog,English Springer Spaniel,White/Liver,2015-07-05 12:59:00,2015-07-05 15:13:00,Return to Owner,Spayed Female,8 years,2015,7,False
A724273,Dog,Basenji Mix,Sable/White,2016-04-14 18:43:00,2016-04-21 17:17:00,Return to Owner,Intact Male,11 months,2016,4,False
A665644,Cat,Domestic Shorthair Mix,Calico,2013-10-21 07:59:00,2013-10-21 11:39:00,Transfer,Intact Female,4 weeks,2013,10,False
A682524,Dog,Doberman Pinsch/Australian Cattle Dog,Tan/Gray,2014-06-29 10:38:00,2014-07-02 14:16:00,Return to Owner,Neutered Male,4 years,2014,7,False
A743852,Dog,Labrador Retriever Mix,Chocolate,2017-02-18 12:46:00,2017-02-21 17:44:00,Return to Owner,Neutered Male,2 years,2017,2,False
A708452,Dog,Labrador Retriever Mix,Black/White,2015-07-30 14:37:00,2015-08-04 18:17:00,Return to Owner,Intact Male,2 years,2015,8,False
A731435,Cat,Domestic Shorthair Mix,Cream Tabby,2016-08-08 17:52:00,2016-08-13 12:27:00,Transfer,Neutered Male,5 months,2016,8,False
A731435,Cat,Domestic Shorthair Mix,Cream Tabby,2016-08-08 17:52:00,2016-07-29 19:00:00,Adoption,Neutered Male,5 months,2016,7,True
A760053,Dog,Chihuahua Shorthair,White/Tan,2017-10-11 15:46:00,2017-10-15 18:30:00,Adoption,Intact Male,2 years,2017,10,True
A707375,Dog,Pit Bull,Brown/White,2015-07-11 18:19:00,2015-11-28 17:31:00,Adoption,Intact Female,5 months,2015,11,True
A696408,Dog,Chihuahua Shorthair,Tricolor,2015-02-04 12:58:00,2015-05-28 11:24:00,Adoption,Intact Female,2 years,2015,5,True
A743114,Cat,Domestic Shorthair Mix,Black/White,2017-02-04 10:10:00,2017-02-04 10:48:00,Euthanasia,Intact Female,2 years,2017,2,False
A657188,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-11-10 17:19:00,2013-10-29 11:07:00,Adoption,Neutered Male,14 years,2013,10,True
A657188,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-11-10 17:19:00,2014-01-26 16:24:00,Adoption,Neutered Male,14 years,2014,1,True
A707658,Cat,Domestic Shorthair Mix,Black/White,2015-07-15 17:43:00,2015-08-19 17:59:00,Adoption,Intact Female,4 weeks,2015,8,True
A736287,Cat,Domestic Shorthair Mix,Torbie,2016-10-08 11:53:00,2016-10-12 18:32:00,Adoption,Intact Female,1 month,2016,10,True
A697950,Dog,Australian Cattle Dog/Labrador Retriever,Tan/White,2015-03-04 11:22:00,2015-03-08 18:55:00,Adoption,Intact Female,2 months,2015,3,True
A298074,Dog,Parson Russell Terrier Mix,Black/White,2015-09-06 14:21:00,2015-09-07 11:40:00,Return to Owner,Spayed Female,18 years,2015,9,False
A707974,Cat,Domestic Shorthair Mix,Blue,2015-07-20 18:13:00,2015-09-08 20:03:00,Transfer,Intact Female,2 years,2015,9,False
A682230,Dog,Maltese Mix,White,2014-06-25 16:27:00,2014-06-29 17:26:00,Transfer,Intact Female,5 months,2014,6,False
A749436,Dog,Dachshund Mix,Brown/White,2017-05-15 09:50:00,2017-05-15 13:25:00,Transfer,Intact Male,4 months,2017,5,False
A722979,Other,Bat Mix,Brown,2016-03-24 16:39:00,2016-03-24 17:17:00,Euthanasia,Unknown,1 year,2016,3,False
A696205,Cat,Domestic Shorthair Mix,Black,2015-02-12 11:57:00,2015-02-11 17:05:00,Adoption,Spayed Female,2 years,2015,2,True
A696205,Cat,Domestic Shorthair Mix,Black,2015-02-12 11:57:00,2015-02-12 15:48:00,Transfer,Spayed Female,2 years,2015,2,False
A759935,Dog,Labrador Retriever Mix,Black,2017-10-09 22:39:00,2017-10-17 18:18:00,Adoption,Intact Female,1 month,2017,10,True
A666877,Dog,Dachshund Mix,Tan/White,2013-11-08 15:24:00,2013-11-15 14:53:00,Transfer,Intact Male,1 year,2013,11,False
A706507,Cat,Domestic Shorthair Mix,Black,2015-06-29 17:04:00,2015-06-30 00:00:00,Died,Unknown,4 days,2015,6,False
A732903,Dog,Labrador Retriever Mix,Black/White,2016-08-14 15:02:00,2016-08-20 15:40:00,Transfer,Intact Female,2 months,2016,8,False
A749400,Cat,Domestic Shorthair Mix,Blue,2017-05-14 14:19:00,2017-08-02 12:22:00,Adoption,Intact Female,1 day,2017,8,True
A727838,Cat,Domestic Shorthair Mix,Black,2016-05-26 14:01:00,2016-05-31 18:27:00,Transfer,Intact Female,2 years,2016,5,False
A701811,Cat,Domestic Shorthair Mix,Gray Tabby,2015-05-05 07:29:00,2015-05-05 11:45:00,Transfer,Unknown,2 weeks,2015,5,False
A700396,Dog,Pit Bull Mix,Black/White,2015-12-07 09:11:00,2015-04-16 18:11:00,Return to Owner,Spayed Female,3 years,2015,4,False
A700396,Dog,Pit Bull Mix,Black/White,2015-12-07 09:11:00,2015-12-20 17:26:00,Return to Owner,Spayed Female,3 years,2015,12,False
A700396,Dog,Pit Bull Mix,Black/White,2015-12-07 09:11:00,2016-12-04 13:38:00,Adoption,Spayed Female,3 years,2016,12,True
A700396,Dog,Pit Bull Mix,Black/White,2015-12-07 09:11:00,2015-12-08 11:45:00,Return to Owner,Spayed Female,3 years,2015,12,False
A700396,Dog,Pit Bull Mix,Black/White,2015-12-07 09:11:00,2015-11-05 17:41:00,Return to Owner,Spayed Female,3 years,2015,11,False
A700396,Dog,Pit Bull Mix,Black/White,2015-12-07 09:11:00,2015-09-16 18:31:00,Return to Owner,Spayed Female,3 years,2015,9,False
A724378,Dog,Tibetan Spaniel Mix,Black/White,2016-04-16 13:36:00,2016-04-20 13:11:00,Adoption,Intact Male,4 years,2016,4,True
A702701,Dog,Miniature Pinscher Mix,Chocolate/Brown,2015-05-16 18:38:00,2015-05-31 14:43:00,Transfer,Spayed Female,2 years,2015,5,False
A702701,Dog,Miniature Pinscher Mix,Chocolate/Brown,2015-05-16 18:38:00,2016-01-16 17:18:00,Return to Owner,Spayed Female,2 years,2016,1,False
A759995,Cat,Domestic Shorthair Mix,Brown Tabby,2017-10-11 11:48:00,2017-10-15 19:23:00,Transfer,Unknown,4 months,2017,10,False
A702931,Other,Hamster Mix,White/Gray,2015-05-19 13:23:00,2015-05-19 15:56:00,Euthanasia,Unknown,2 years,2015,5,False
A745133,Dog,Chihuahua Shorthair Mix,Tan,2017-03-13 12:50:00,2017-03-24 12:02:00,Transfer,Intact Male,1 year,2017,3,False
A747817,Cat,Domestic Shorthair Mix,Tortie,2017-04-25 12:02:00,2017-05-03 11:26:00,Return to Owner,Intact Female,2 years,2017,5,False
A736501,Cat,Domestic Shorthair Mix,Black,2016-10-11 16:43:00,2016-10-14 16:48:00,Transfer,Neutered Male,15 years,2016,10,False
A755102,Cat,Domestic Longhair Mix,Torbie,2017-07-29 11:49:00,2017-08-20 15:20:00,Adoption,Spayed Female,8 years,2017,8,True
A699608,Cat,Domestic Shorthair Mix,Black,2015-03-30 15:23:00,2015-03-31 09:00:00,Transfer,Intact Female,1 year,2015,3,False
A714578,Cat,Domestic Shorthair Mix,Brown Tabby,2015-10-25 12:59:00,2015-12-20 00:00:00,Transfer,Intact Male,2 weeks,2015,12,False
A721791,Dog,Dachshund/Chihuahua Shorthair,Brown Merle,2016-03-04 14:18:00,2016-03-08 18:22:00,Adoption,Intact Male,2 months,2016,3,True
A754145,Cat,Domestic Shorthair Mix,Black,2017-07-16 13:17:00,2017-07-17 13:11:00,Return to Owner,Spayed Female,2 years,2017,7,False
A713887,Cat,Domestic Shorthair Mix,Orange Tabby,2015-10-14 15:57:00,2015-10-29 12:00:00,Transfer,Intact Male,2 months,2015,10,False
A678059,Cat,Domestic Longhair Mix,Brown Tabby,2014-05-03 12:33:00,2014-06-24 15:53:00,Adoption,Intact Male,1 month,2014,6,True
A758165,Cat,American Shorthair Mix,White/Blue,2017-09-12 10:58:00,2017-09-14 19:33:00,Adoption,Intact Female,1 year,2017,9,True
A675555,Dog,German Shepherd/Chow Chow,Sable/Tan,2015-04-04 11:09:00,2015-04-05 14:35:00,Return to Owner,Neutered Male,3 years,2015,4,False
A747964,Dog,Miniature Schnauzer Mix,White/Gray,2017-04-27 13:23:00,2017-05-01 17:03:00,Transfer,Intact Male,6 years,2017,5,False
A678830,Cat,Domestic Shorthair Mix,Black,2014-05-13 12:47:00,2014-05-13 13:03:00,Transfer,Unknown,3 weeks,2014,5,False
A698165,Other,Bat,Brown/Black,2015-03-06 18:48:00,2015-03-07 09:45:00,Died,Unknown,4 weeks,2015,3,False
A704806,Cat,Domestic Shorthair Mix,Brown Tabby,2015-06-09 11:34:00,2015-06-09 15:54:00,Transfer,Unknown,3 weeks,2015,6,False
A696174,Cat,Domestic Shorthair,Brown Tabby,2015-01-30 16:08:00,2015-12-16 10:40:00,Adoption,Intact Male,1 year,2015,12,True
A740284,Cat,Domestic Shorthair Mix,Blue Tabby,2016-12-14 13:41:00,2016-12-21 12:27:00,Adoption,Spayed Female,2 months,2016,12,True
A767767,Dog,Labrador Retriever Mix,Yellow,2018-03-06 14:07:00,2018-03-24 15:21:00,Adoption,Intact Female,1 year,2018,3,True
A749544,Cat,Domestic Shorthair Mix,Cream Tabby/White,2017-05-16 11:57:00,2017-05-16 14:16:00,Transfer,Intact Male,3 weeks,2017,5,False
A733559,Cat,Domestic Shorthair Mix,Black,2016-08-23 16:58:00,2016-10-02 17:46:00,Adoption,Intact Male,4 weeks,2016,10,True
A722856,Dog,Labrador Retriever Mix,White/Black,2016-05-05 15:24:00,2017-01-18 16:27:00,Transfer,Neutered Male,4 years,2017,1,False
A722856,Dog,Labrador Retriever Mix,White/Black,2016-05-05 15:24:00,2016-03-24 17:52:00,Return to Owner,Neutered Male,4 years,2016,3,False
